Student,All class,
No,Student ID,Password,Full name,Email,Phone,Class
1,1712524,54321,nguyen duy khanh,dkn,123,cntn
2,1712938,12345,nguyen thi mai thanh,mtn,123,cntn
3,1751049,12345,hoang nghia van phong,vphn,123,cntn
4,1751050,12345,huynh van tu,hvt,123,cntn
5,1751051,12345,pham viet nga,pvn,123,cntn
6,1751052,12345,nguyen khanh toan,nkt,123,cntn
7,1751053,12345,lam thanh loc,ltl,123,cntn
8,1751054,12345,hoang hao quang,hhq,123,cntn
9,1751055,12345,nguyen le sang,nls,123,cntn
10,1751125,12345,nguyen thanh nam,ntn,123,cntn
